Voice,Gender,median_stan_xmouse,cluster_id,ClusterCoding
subj218,m,0.07098730311627417,3,modal
subj219,m,-0.0317268114142869,3,modal
subj221,f,-0.4032617828498649,1,creaky
subj222,m,-0.11404832009315047,3,modal
subj223,m,0.4093991366607063,2,breathy
subj224,f,-1.0710064953897525,1,creaky
subj225,f,-0.007543442569928654,3,modal
subj226,m,0.46527322547886363,2,breathy
subj227,f,-0.14011547967088692,3,modal
subj229,f,1.0037943814886665,2,breathy
subj231,f,-0.13454719495225317,3,modal
subj232,f,-0.13054306294208934,3,modal
subj233,m,-0.23672869716053951,3,modal
subj235,f,-0.5864041501279459,1,creaky
subj238,f,-0.1714144981979705,3,modal
subj239,f,-0.30868789346346204,3,modal
subj240,f,0.11143113771181895,3,modal
subj241,m,0.45947046698516214,2,breathy
subj243,f,-0.0769738087193964,3,modal
subj244,m,-0.9658195192808701,1,creaky
subj245,m,0.7434395070506994,2,breathy
subj246,f,1.018450853521215,2,breathy
subj247,m,0.6225008046847929,2,breathy
subj249,m,0.22433191563305985,3,modal
subj250,f,-0.03501465046439291,3,modal
subj251,f,0.07732217885563822,3,modal
subj253,f,-0.44825587894644825,1,creaky
subj255,f,0.25408382039519406,3,modal
subj256,m,0.5731885357924531,2,breathy
subj259,f,-0.023115022775818516,3,modal
subj261,f,-0.5195921493472939,1,creaky
subj262,f,-0.5510487728404915,1,creaky
subj263,m,-0.07800563043054881,3,modal
subj266,f,-0.2890926188178118,3,modal
subj269,m,0.32689470408511734,2,breathy
subj270,m,0.031055045202658685,3,modal
subj271,f,0.12150562417871569,3,modal
subj274,m,0.7041410408457045,2,breathy
subj275,f,-0.1473919734847718,3,modal
subj276,f,-0.4033960159454688,1,creaky
subj277,f,-0.7457970982482562,1,creaky
subj278,f,0.5409186946269039,2,breathy
subj280,f,-1.0961939205738152,1,creaky
subj287,f,-0.8783510112154238,1,creaky
subj288,f,0.4705219694005001,2,breathy
subj289,f,0.6198554088129932,2,breathy
subj292,m,0.8314064009223299,2,breathy
subj293,m,-0.5417716364171946,1,creaky
subj295,m,-0.025334071078577235,3,modal
subj297,m,-0.26754238874324276,3,modal
subj304,m,-0.25253688055224427,3,modal
subj307,m,0.6659394472403705,2,breathy
subj309,m,0.0285062727323816,3,modal
subj316,m,0.29763839172449663,2,breathy
subj317,m,0.46472568290271354,2,breathy
subj318,m,0.4630870306688253,2,breathy
subj321,m,-0.6606150238970852,1,creaky
subj329,m,0.1572968689726822,3,modal
subj337,m,0.2044918705122002,3,modal
subj339,m,0.7618511144389586,2,breathy
